,aantal,
7 Segment Display Red w/I2C Backpack,1,https://www.mouser.be/ProductDetail/Adafruit/1270?qs=sGAEpiMZZMsMyYRRhGMFNq9TrlBKcTqo32ZaxL7MEV4%3D
Adafruit Mini 8x8 Red LED Matrix with Backpack,2,https://www.mouser.be/ProductDetail/Adafruit/870?qs=sGAEpiMZZMu%252BmKbOcEVhFQfi8wYXkauJpb1FWjbP6dPwyJlOFwFjKQ%3D%3D
100 V-240 V 6 Port Portable USB Hub,1,https://nl.aliexpress.com/item/32596182003.html
Tiny Thermal Receipt Printer,1,https://www.mouser.be/ProductDetail/Adafruit/2751?qs=%2Fha2pyFaduix1CUYc%252BO5%252B9PmsQNll2k%252B060aZb5uQUpbchmiUaU%252BJ4Zc5R9PdR2swH4DI6gbtNw%3D
Thermal Paper Roll - 16 long 2.25,1,https://www.mouser.be/ProductDetail/Adafruit/2755?qs=sGAEpiMZZMu%252BmKbOcEVhFUBxNE2d1fkxBX%2F3XGQQp2Dkghjo4%252BkM%2FQ%3D%3D
Raspberry Pi 3 model A+,1,https://www.gotron.be/raspberry-pi-3-model-a.html
Industriële voeding Meanwell 50W - 5V / 10A LRS505,1,https://www.gotron.be/industriele-voeding-meanwell-50w-12v-4-2a-lrs505.html
"Afdekplaatje 5 polig Meanwell P9,5",1,https://www.gotron.be/afdekplaatje-5-polig-meanwell-p9-5.html
SanDisk Ultra Micro SDHC 16GB,1,https://www.bol.com/nl/p/sandisk-ultra-micro-sdhc-16gb-met-adapter/9200000047488161/?suggestionType=suggestedsearch&bltgh=rfhya-05egEQ0iHSVihKIQ.1.4.ProductTitle
Adafruit Large Arcade LED Red Button,1,https://www.mouser.be/ProductDetail/Adafruit/1190?qs=sGAEpiMZZMu%252BmKbOcEVhFQfi8wYXkauJdxToNIXMq6DxT4vvrtdkww%3D%3D
relay + breakout board,1,"https://nl.aliexpress.com/item/2027291228.html?spm=a2g0o.productlist.0.0.16a94716S6oLaf&algo_pvid=be4a687e-91d6-402a-b03e-16d446f812a2&algo_expid=be4a687e-91d6-402a-b03e-16d446f812a2-13&btsid=beaeb29c-0a98-459e-bf47-b0b9caf6d57a&ws_ab_test=searchweb0_0,searchweb201602_1,searchweb201603_60"
5v ventilator,1,https://www.gotron.be/sunon-ventilator-5vdc-25-x-25-x-10mm-5m-h-16dba.html
Minimicroswitch met hendel,7,https://www.gotron.be/minimicroswitch-met-hendel-on-on-5a-125v-3a-250v.html
Sunon Ventilator- 5VDC - 25 x 25 x 10mm -5m3/h - 16dBA,1,https://www.gotron.be/sunon-ventilator-5vdc-25-x-25-x-10mm-5m-h-16dba.html
wires with precrimped terminals + crimpconnectors,1,https://opencircuit.shop/Product/12605/Wires-with-Pre-crimped-Terminals-50-Piece-Rainbow-Assortment-F-F-24
PCB,1,
Micro-usb kabel,2,
iphone laadkabel,1,
Ledjes 5mm,6,
Ledjes 3mm,6,
weerstand 220Ohm,12,
weerstand 1KOhm,8,
weerstand 10KOhm,8,
female headers (1x20),2,
male headers (1x8),7,
